NONMMUT000001.2 	NONHSAT212998.1
NONMMUT000005.2 	NONHSAT170803.1
NONMMUT000006.2 	NONHSAT200033.1
NONMMUT000007.2 	NONHSAT246887.1
NONMMUT000010.2 	NONHSAT245746.1
NONMMUT000011.2 	NONHSAT178587.1
NONMMUT000013.2 	NONHSAT156447.1
NONMMUT000015.2 	NONHSAT141966.2
NONMMUT000018.2 	NONHSAT166112.1
NONMMUT000020.2 	NONHSAT126642.2
NONMMUT000022.2 	NONHSAT239118.1
NONMMUT000024.2 	NONHSAT126642.2
NONMMUT000025.2 	NONHSAT126642.2
NONMMUT000027.2 	NONHSAT001162.2
NONMMUT000028.2 	NONHSAT177198.1
NONMMUT000030.2 	NONHSAT218122.1
NONMMUT000031.2 	NONHSAT242633.1
NONMMUT000034.2 	NONHSAT159264.1
NONMMUT000036.2 	NONHSAT201549.1
NONMMUT000038.2 	NONHSAT241942.1
NONMMUT000039.2 	NONHSAT130692.2
NONMMUT000042.2 	NONHSAT245983.1
NONMMUT000043.2 	NONHSAT013600.2
NONMMUT000044.2 	NONHSAT025216.2
NONMMUT000046.2 	NONHSAT207427.1
NONMMUT000048.2 	NONHSAT207721.1
NONMMUT000049.2 	NONHSAT096108.2
NONMMUT000052.2 	NONHSAT234852.1
NONMMUT000053.2 	NONHSAT230529.1
NONMMUT000054.2 	NONHSAT255071.1
NONMMUT000055.2 	NONHSAT159328.1
NONMMUT000061.2 	NONHSAT232200.1
NONMMUT000062.2 	NONHSAT160519.1
NONMMUT000064.2 	NONHSAT066677.2
NONMMUT000066.2 	NONHSAT214315.1
NONMMUT000067.2 	NONHSAT178368.1
NONMMUT000068.2 	NONHSAT137724.2
NONMMUT000071.2 	NONHSAT114763.2
NONMMUT000073.2 	NONHSAT188310.1
NONMMUT000074.2 	NONHSAT057291.2
NONMMUT000075.2 	NONHSAT078924.2
NONMMUT000076.2 	NONHSAT232200.1
NONMMUT000077.2 	NONHSAT214612.1
NONMMUT000079.2 	NONHSAT202015.1
NONMMUT000080.2 	NONHSAT160968.1
NONMMUT000082.2 	NONHSAT258200.1
NONMMUT000083.2 	NONHSAT198253.1
NONMMUT000084.2 	NONHSAT211348.1
NONMMUT000085.2 	NONHSAT114788.2
NONMMUT000086.2 	NONHSAT016630.2
NONMMUT000087.2 	NONHSAT216967.1
NONMMUT000089.2 	NONHSAT148809.1
NONMMUT000091.2 	NONHSAT132953.2
NONMMUT000093.2 	NONHSAT090081.2
NONMMUT000094.2 	NONHSAT059365.2
NONMMUT000096.2 	NONHSAT013363.2
NONMMUT000098.2 	NONHSAT208684.1
NONMMUT000100.2 	NONHSAT158915.1
NONMMUT000101.2 	NONHSAT072704.2
NONMMUT000102.2 	NONHSAT075221.2
NONMMUT000103.2 	NONHSAT223729.1
NONMMUT000104.2 	NONHSAT191194.1
NONMMUT000105.2 	NONHSAT210657.1
NONMMUT000106.2 	NONHSAT179576.1
