NONMMUT000025.2 	NONHSAT126642.2
NONMMUT000054.2 	NONHSAT255071.1
NONMMUT000077.2 	NONHSAT214612.1
NONMMUT000086.2 	NONHSAT016630.2
NONMMUT000091.2 	NONHSAT132953.2
NONMMUT000108.2 	NONHSAT215918.1
NONMMUT000121.2 	NONHSAT127049.2
NONMMUT000123.2 	NONHSAT127057.2
NONMMUT000163.2 	NONHSAT127091.2
NONMMUT000170.2 	NONHSAT215933.1
NONMMUT000175.2 	NONHSAT127134.2
NONMMUT000212.2 	NONHSAT256453.1
NONMMUT000243.2 	NONHSAT004702.2
NONMMUT000248.2 	NONHSAT127268.2
NONMMUT000294.2 	NONHSAT207372.1
NONMMUT000306.2 	NONHSAT252345.1
NONMMUT000315.2 	NONHSAT113142.2
NONMMUT000336.2 	NONHSAT209306.1
NONMMUT000347.2 	NONHSAT113507.2
NONMMUT000375.2 	NONHSAT222398.1
NONMMUT000377.2 	NONHSAT222409.1
NONMMUT000380.2 	NONHSAT150930.1
NONMMUT000537.2 	NONHSAT187484.1
NONMMUT000558.2 	NONHSAT072581.2
NONMMUT000575.2 	NONHSAT072592.2
NONMMUT000579.2 	NONHSAT185155.1
NONMMUT000601.2 	NONHSAT185165.1
NONMMUT000613.2 	NONHSAT023985.2
NONMMUT000672.2 	NONHSAT072787.2
NONMMUT000673.2 	NONHSAT210030.1
NONMMUT000680.2 	NONHSAT185203.1
NONMMUT000686.2 	NONHSAT182270.1
NONMMUT000688.2 	NONHSAT242357.1
NONMMUT000725.2 	NONHSAT072911.2
NONMMUT000736.2 	NONHSAT072957.2
NONMMUT000741.2 	NONHSAT072956.2
NONMMUT000745.2 	NONHSAT072959.2
NONMMUT000788.2 	NONHSAT166195.1
NONMMUT000790.2 	NONHSAT166197.1
NONMMUT000852.2 	NONHSAT183324.1
NONMMUT000856.2 	NONHSAT187898.1
NONMMUT000870.2 	NONHSAT186098.1
NONMMUT000986.2 	NONHSAT241343.1
NONMMUT000995.2 	NONHSAT186161.1
NONMMUT000997.2 	NONHSAT186160.1
NONMMUT001054.2 	NONHSAT183407.1
NONMMUT001096.2 	NONHSAT206116.1
NONMMUT001109.2 	NONHSAT076454.2
NONMMUT001112.2 	NONHSAT183418.1
NONMMUT001133.2 	NONHSAT241357.1
NONMMUT001136.2 	NONHSAT186214.1
NONMMUT001171.2 	NONHSAT183426.1
NONMMUT001173.2 	NONHSAT234451.1
NONMMUT001191.2 	NONHSAT186224.1
NONMMUT001204.2 	NONHSAT182215.1
NONMMUT001209.2 	NONHSAT076526.2
NONMMUT001218.2 	NONHSAT043911.2
NONMMUT001247.2 	NONHSAT183181.1
NONMMUT001253.2 	NONHSAT076562.2
NONMMUT001254.2 	NONHSAT138004.2
NONMMUT001260.2 	NONHSAT183457.1
NONMMUT001262.2 	NONHSAT076575.2
NONMMUT001270.2 	NONHSAT076604.2
NONMMUT001281.2 	NONHSAT242931.1
NONMMUT001293.2 	NONHSAT021482.2
NONMMUT001300.2 	NONHSAT199678.1
NONMMUT001353.2 	NONHSAT183488.1
NONMMUT001357.2 	NONHSAT156856.1
NONMMUT001369.2 	NONHSAT003085.2
NONMMUT001408.2 	NONHSAT186269.1
NONMMUT001417.2 	NONHSAT241404.1
NONMMUT001437.2 	NONHSAT242945.1
NONMMUT001486.2 	NONHSAT183540.1
NONMMUT001508.2 	NONHSAT258007.1
NONMMUT001510.2 	NONHSAT076868.2
NONMMUT001526.2 	NONHSAT183563.1
NONMMUT001537.2 	NONHSAT186316.1
NONMMUT001542.2 	NONHSAT186319.1
NONMMUT001605.2 	NONHSAT047089.2
NONMMUT001665.2 	NONHSAT221373.1
NONMMUT001683.2 	NONHSAT183667.1
NONMMUT001691.2 	NONHSAT077201.2
NONMMUT001749.2 	NONHSAT186409.1
NONMMUT001756.2 	NONHSAT243023.1
NONMMUT001773.2 	NONHSAT077272.2
NONMMUT001777.2 	NONHSAT077276.2
NONMMUT001779.2 	NONHSAT183718.1
NONMMUT001794.2 	NONHSAT186411.1
NONMMUT001844.2 	NONHSAT077381.2
NONMMUT001874.2 	NONHSAT186430.1
NONMMUT001894.2 	NONHSAT003346.2
NONMMUT001904.2 	NONHSAT077462.2
NONMMUT001905.2 	NONHSAT077466.2
NONMMUT001919.2 	NONHSAT077500.2
NONMMUT001987.2 	NONHSAT241562.1
NONMMUT001992.2 	NONHSAT077609.2
NONMMUT002003.2 	NONHSAT183853.1
NONMMUT002006.2 	NONHSAT186492.1
NONMMUT002203.2 	NONHSAT059613.2
NONMMUT002330.2 	NONHSAT242506.1
NONMMUT002339.2 	NONHSAT212797.1
NONMMUT002356.2 	NONHSAT073979.2
NONMMUT002366.2 	NONHSAT073965.2
NONMMUT002388.2 	NONHSAT185424.1
NONMMUT002402.2 	NONHSAT098364.2
NONMMUT002426.2 	NONHSAT073872.2
NONMMUT002459.2 	NONHSAT074561.2
NONMMUT002464.2 	NONHSAT074577.2
NONMMUT002497.2 	NONHSAT182705.1
NONMMUT002519.2 	NONHSAT257741.1
NONMMUT002575.2 	NONHSAT152787.1
NONMMUT002599.2 	NONHSAT152782.1
NONMMUT002636.2 	NONHSAT225860.1
NONMMUT002648.2 	NONHSAT009563.2
NONMMUT002650.2 	NONHSAT150343.1
NONMMUT002711.2 	NONHSAT133161.2
NONMMUT002735.2 	NONHSAT150317.1
NONMMUT002737.2 	NONHSAT227461.1
NONMMUT002783.2 	NONHSAT225806.1
NONMMUT002905.2 	NONHSAT154438.1
NONMMUT002919.2 	NONHSAT227449.1
NONMMUT002944.2 	NONHSAT181070.1
NONMMUT002958.2 	NONHSAT154431.1
NONMMUT002978.2 	NONHSAT008627.2
NONMMUT003065.2 	NONHSAT150212.1
NONMMUT003085.2 	NONHSAT225763.1
NONMMUT003096.2 	NONHSAT205156.1
NONMMUT003186.2 	NONHSAT008322.2
NONMMUT003227.2 	NONHSAT225727.1
NONMMUT003258.2 	NONHSAT227373.1
NONMMUT003260.2 	NONHSAT150114.1
NONMMUT003267.2 	NONHSAT008225.2
NONMMUT003297.2 	NONHSAT186073.1
NONMMUT003298.2 	NONHSAT152591.1
NONMMUT003318.2 	NONHSAT128417.2
NONMMUT003341.2 	NONHSAT241123.1
NONMMUT003351.2 	NONHSAT007754.2
NONMMUT003352.2 	NONHSAT007753.2
NONMMUT003395.2 	NONHSAT225712.1
NONMMUT003402.2 	NONHSAT007713.2
NONMMUT003408.2 	NONHSAT225710.1
NONMMUT003426.2 	NONHSAT007695.2
NONMMUT003439.2 	NONHSAT007676.2
NONMMUT003440.2 	NONHSAT007683.2
NONMMUT003468.2 	NONHSAT007614.2
NONMMUT003519.2 	NONHSAT150035.1
NONMMUT003551.2 	NONHSAT150028.1
NONMMUT003589.2 	NONHSAT154236.1
NONMMUT003605.2 	NONHSAT152503.1
NONMMUT003622.2 	NONHSAT007398.2
NONMMUT003637.2 	NONHSAT007392.2
NONMMUT003696.2 	NONHSAT172137.1
NONMMUT003729.2 	NONHSAT007235.2
NONMMUT003734.2 	NONHSAT007220.2
NONMMUT003748.2 	NONHSAT227272.1
NONMMUT003749.2 	NONHSAT152454.1
NONMMUT003833.2 	NONHSAT007038.2
NONMMUT003853.2 	NONHSAT007028.2
NONMMUT003859.2 	NONHSAT225654.1
NONMMUT003895.2 	NONHSAT010550.2
NONMMUT003919.2 	NONHSAT150859.1
NONMMUT003929.2 	NONHSAT226176.1
NONMMUT003932.2 	NONHSAT153264.1
NONMMUT003966.2 	NONHSAT153277.1
NONMMUT003978.2 	NONHSAT153290.1
NONMMUT003981.2 	NONHSAT010691.2
NONMMUT004044.2 	NONHSAT194298.1
NONMMUT004048.2 	NONHSAT009869.2
NONMMUT004069.2 	NONHSAT153032.1
NONMMUT004077.2 	NONHSAT009806.2
NONMMUT004100.2 	NONHSAT227681.1
NONMMUT004110.2 	NONHSAT226026.1
NONMMUT004112.2 	NONHSAT154668.1
NONMMUT004159.2 	NONHSAT154635.1
NONMMUT004221.2 	NONHSAT154595.1
NONMMUT004226.2 	NONHSAT152956.1
NONMMUT004247.2 	NONHSAT154589.1
NONMMUT004300.2 	NONHSAT009458.2
NONMMUT004337.2 	NONHSAT152882.1
NONMMUT004390.2 	NONHSAT166687.1
NONMMUT004402.2 	NONHSAT227563.1
NONMMUT004419.2 	NONHSAT009270.2
NONMMUT004435.2 	NONHSAT009243.2
NONMMUT004456.2 	NONHSAT009208.2
NONMMUT004459.2 	NONHSAT227536.1
NONMMUT004477.2 	NONHSAT150404.1
NONMMUT004492.2 	NONHSAT227502.1
NONMMUT004498.2 	NONHSAT009144.2
NONMMUT004501.2 	NONHSAT225886.1
NONMMUT004516.2 	NONHSAT251688.1
NONMMUT004554.2 	NONHSAT209892.1
NONMMUT004597.2 	NONHSAT209880.1
NONMMUT004603.2 	NONHSAT115509.2
NONMMUT004626.2 	NONHSAT208239.1
NONMMUT004673.2 	NONHSAT208217.1
NONMMUT004708.2 	NONHSAT115417.2
NONMMUT004761.2 	NONHSAT251622.1
NONMMUT004800.2 	NONHSAT208162.1
NONMMUT004848.2 	NONHSAT115202.2
NONMMUT004882.2 	NONHSAT115179.2
NONMMUT004900.2 	NONHSAT252895.1
NONMMUT004910.2 	NONHSAT208084.1
NONMMUT004921.2 	NONHSAT209746.1
NONMMUT004926.2 	NONHSAT208079.1
NONMMUT004962.2 	NONHSAT117878.2
NONMMUT004997.2 	NONHSAT004856.2
NONMMUT005004.2 	NONHSAT209705.1
NONMMUT005029.2 	NONHSAT252684.1
NONMMUT005030.2 	NONHSAT211150.1
NONMMUT005037.2 	NONHSAT208035.1
NONMMUT005066.2 	NONHSAT208028.1
NONMMUT005154.2 	NONHSAT243878.1
NONMMUT005156.2 	NONHSAT114816.2
NONMMUT005157.2 	NONHSAT211114.1
NONMMUT005170.2 	NONHSAT150835.1
NONMMUT005175.2 	NONHSAT054942.2
NONMMUT005179.2 	NONHSAT114788.2
NONMMUT005182.2 	NONHSAT207983.1
NONMMUT005234.2 	NONHSAT114643.2
NONMMUT005254.2 	NONHSAT114574.2
NONMMUT005260.2 	NONHSAT209586.1
NONMMUT005262.2 	NONHSAT211030.1
NONMMUT005266.2 	NONHSAT207869.1
NONMMUT005275.2 	NONHSAT207860.1
NONMMUT005282.2 	NONHSAT210996.1
NONMMUT005292.2 	NONHSAT190318.1
NONMMUT005362.2 	NONHSAT207831.1
NONMMUT005374.2 	NONHSAT209553.1
NONMMUT005393.2 	NONHSAT114395.2
NONMMUT005406.2 	NONHSAT209544.1
NONMMUT005413.2 	NONHSAT114357.2
NONMMUT005414.2 	NONHSAT146396.2
NONMMUT005435.2 	NONHSAT209535.1
NONMMUT005471.2 	NONHSAT210956.1
NONMMUT005495.2 	NONHSAT251377.1
NONMMUT005506.2 	NONHSAT251367.1
NONMMUT005514.2 	NONHSAT114206.2
NONMMUT005533.2 	NONHSAT136269.2
NONMMUT005574.2 	NONHSAT002162.2
NONMMUT005576.2 	NONHSAT152440.1
NONMMUT005589.2 	NONHSAT232601.1
NONMMUT005609.2 	NONHSAT209623.1
NONMMUT005746.2 	NONHSAT073124.2
NONMMUT005784.2 	NONHSAT005437.2
NONMMUT005822.2 	NONHSAT102191.2
NONMMUT005836.2 	NONHSAT248593.1
NONMMUT005837.2 	NONHSAT013828.2
NONMMUT005874.2 	NONHSAT013729.2
NONMMUT005906.2 	NONHSAT157095.1
NONMMUT005917.2 	NONHSAT013674.2
NONMMUT005938.2 	NONHSAT155570.1
NONMMUT005999.2 	NONHSAT155561.1
NONMMUT006148.2 	NONHSAT118751.2
NONMMUT006205.2 	NONHSAT075057.2
NONMMUT006228.2 	NONHSAT193364.1
NONMMUT006339.2 	NONHSAT191559.1
NONMMUT006354.2 	NONHSAT239652.1
NONMMUT006436.2 	NONHSAT179347.1
NONMMUT006444.2 	NONHSAT250373.1
NONMMUT006541.2 	NONHSAT230440.1
NONMMUT006545.2 	NONHSAT162673.1
NONMMUT006556.2 	NONHSAT171571.1
NONMMUT006564.2 	NONHSAT030431.2
NONMMUT006575.2 	NONHSAT030440.2
NONMMUT006583.2 	NONHSAT030453.2
NONMMUT006596.2 	NONHSAT231584.1
NONMMUT006652.2 	NONHSAT192268.1
NONMMUT006693.2 	NONHSAT030398.2
NONMMUT006719.2 	NONHSAT065886.2
NONMMUT006758.2 	NONHSAT163912.1
NONMMUT006802.2 	NONHSAT030153.2
NONMMUT006814.2 	NONHSAT222022.1
NONMMUT006820.2 	NONHSAT030099.2
NONMMUT006822.2 	NONHSAT030103.2
NONMMUT006823.2 	NONHSAT162624.1
NONMMUT006824.2 	NONHSAT231523.1
NONMMUT006831.2 	NONHSAT231508.1
NONMMUT006832.2 	NONHSAT030091.2
NONMMUT006835.2 	NONHSAT030093.2
NONMMUT006837.2 	NONHSAT231511.1
NONMMUT006838.2 	NONHSAT163891.1
NONMMUT007024.2 	NONHSAT232304.1
NONMMUT007049.2 	NONHSAT162547.1
NONMMUT007081.2 	NONHSAT164995.1
NONMMUT007091.2 	NONHSAT231412.1
NONMMUT007101.2 	NONHSAT115054.2
NONMMUT007165.2 	NONHSAT163785.1
NONMMUT007204.2 	NONHSAT232267.1
NONMMUT007234.2 	NONHSAT029682.2
NONMMUT007264.2 	NONHSAT162474.1
NONMMUT007293.2 	NONHSAT231379.1
NONMMUT007296.2 	NONHSAT029608.2
NONMMUT007342.2 	NONHSAT231364.1
NONMMUT007425.2 	NONHSAT163734.1
NONMMUT007477.2 	NONHSAT232213.1
NONMMUT007596.2 	NONHSAT029276.2
NONMMUT007682.2 	NONHSAT163674.1
NONMMUT007686.2 	NONHSAT162348.1
NONMMUT007689.2 	NONHSAT232181.1
NONMMUT007704.2 	NONHSAT162337.1
NONMMUT007735.2 	NONHSAT029130.2
NONMMUT008002.2 	NONHSAT232564.1
NONMMUT008056.2 	NONHSAT028957.2
NONMMUT008072.2 	NONHSAT162283.1
NONMMUT008090.2 	NONHSAT163623.1
NONMMUT008112.2 	NONHSAT231292.1
NONMMUT008143.2 	NONHSAT028806.2
NONMMUT008156.2 	NONHSAT028785.2
NONMMUT008195.2 	NONHSAT252804.1
NONMMUT008245.2 	NONHSAT099729.2
NONMMUT008282.2 	NONHSAT160557.1
NONMMUT008293.2 	NONHSAT192813.1
NONMMUT008300.2 	NONHSAT030882.2
NONMMUT008303.2 	NONHSAT084831.2
NONMMUT008306.2 	NONHSAT244817.1
NONMMUT008309.2 	NONHSAT084829.2
NONMMUT008316.2 	NONHSAT170702.1
NONMMUT008343.2 	NONHSAT001868.2
NONMMUT008358.2 	NONHSAT171352.1
NONMMUT008414.2 	NONHSAT073738.2
NONMMUT008421.2 	NONHSAT167444.1
NONMMUT008428.2 	NONHSAT029511.2
NONMMUT008448.2 	NONHSAT006246.2
NONMMUT008475.2 	NONHSAT070633.2
NONMMUT008492.2 	NONHSAT120405.2
NONMMUT008495.2 	NONHSAT120407.2
NONMMUT008526.2 	NONHSAT148426.1
NONMMUT008536.2 	NONHSAT071460.2
NONMMUT008560.2 	NONHSAT120517.2
NONMMUT008573.2 	NONHSAT251211.1
NONMMUT008581.2 	NONHSAT105339.2
NONMMUT008614.2 	NONHSAT139296.2
NONMMUT008630.2 	NONHSAT083333.2
NONMMUT008633.2 	NONHSAT136355.2
NONMMUT008667.2 	NONHSAT213510.1
NONMMUT008694.2 	NONHSAT155174.1
NONMMUT008695.2 	NONHSAT138748.2
NONMMUT008721.2 	NONHSAT071224.2
NONMMUT008737.2 	NONHSAT092960.2
NONMMUT008758.2 	NONHSAT184765.1
NONMMUT008802.2 	NONHSAT186983.1
NONMMUT008811.2 	NONHSAT137360.2
NONMMUT008827.2 	NONHSAT163211.1
NONMMUT008828.2 	NONHSAT173539.1
NONMMUT008879.2 	NONHSAT242039.1
NONMMUT008903.2 	NONHSAT184721.1
NONMMUT008906.2 	NONHSAT240629.1
NONMMUT008915.2 	NONHSAT070941.2
NONMMUT008921.2 	NONHSAT195795.1
NONMMUT008930.2 	NONHSAT181873.1
NONMMUT008944.2 	NONHSAT186954.1
NONMMUT008951.2 	NONHSAT070902.2
NONMMUT008962.2 	NONHSAT242026.1
NONMMUT008969.2 	NONHSAT176461.1
NONMMUT008972.2 	NONHSAT181850.1
NONMMUT009008.2 	NONHSAT032140.2
NONMMUT009009.2 	NONHSAT148402.1
NONMMUT009010.2 	NONHSAT100826.2
NONMMUT009019.2 	NONHSAT184662.1
NONMMUT009037.2 	NONHSAT184657.1
NONMMUT009045.2 	NONHSAT070787.2
NONMMUT009051.2 	NONHSAT184653.1
NONMMUT009054.2 	NONHSAT184652.1
NONMMUT009064.2 	NONHSAT029588.2
NONMMUT009085.2 	NONHSAT169600.1
NONMMUT009099.2 	NONHSAT241998.1
NONMMUT009105.2 	NONHSAT152871.1
NONMMUT009107.2 	NONHSAT150467.1
NONMMUT009111.2 	NONHSAT031636.2
NONMMUT009200.2 	NONHSAT054466.2
NONMMUT009209.2 	NONHSAT215279.1
NONMMUT009234.2 	NONHSAT105037.2
NONMMUT009242.2 	NONHSAT204993.1
NONMMUT009331.2 	NONHSAT170898.1
NONMMUT009358.2 	NONHSAT070788.2
NONMMUT009384.2 	NONHSAT203502.1
NONMMUT009389.2 	NONHSAT203499.1
NONMMUT009418.2 	NONHSAT155669.1
NONMMUT009445.2 	NONHSAT203478.1
NONMMUT009485.2 	NONHSAT223357.1
NONMMUT009489.2 	NONHSAT036368.2
NONMMUT009514.2 	NONHSAT209364.1
NONMMUT009517.2 	NONHSAT172540.1
NONMMUT009531.2 	NONHSAT249786.1
NONMMUT009586.2 	NONHSAT205116.1
NONMMUT009622.2 	NONHSAT105574.2
NONMMUT009645.2 	NONHSAT199325.1
NONMMUT009648.2 	NONHSAT105542.2
NONMMUT009651.2 	NONHSAT250644.1
NONMMUT009656.2 	NONHSAT205097.1
NONMMUT009659.2 	NONHSAT203682.1
NONMMUT009671.2 	NONHSAT103868.2
NONMMUT009770.2 	NONHSAT088609.2
NONMMUT009831.2 	NONHSAT104604.2
NONMMUT009839.2 	NONHSAT104633.2
NONMMUT009848.2 	NONHSAT258338.1
NONMMUT009898.2 	NONHSAT204895.1
NONMMUT009903.2 	NONHSAT222868.1
NONMMUT009939.2 	NONHSAT161896.1
NONMMUT009972.2 	NONHSAT226212.1
NONMMUT009981.2 	NONHSAT159653.1
NONMMUT009990.2 	NONHSAT245492.1
